,0
0,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
1,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
2,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
3,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
4,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
5,"u'RT @purehoop: We hit 400 shirts sold and I have another code for a free Showtime shirt! Retweet this along with describing your favorite La\u2026', "
6,"u""RT @unqlechriz: WATCH: I'm learning isiXhosa, what y'all think? \U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\nPlease RT\nCc: @Kay_Q0 @Rhyme_Insane \n#DateMyFamily #OurPerfectWedding\u2026"", "
7,"u""Interesting article drawing parallels betw LeBron's 2010 announcement &amp; Trump's SCOTUS announcement tonight. Expect\u2026 https://t.co/c8s50mlCu3"", "
8,"u'Kobe got rings for a half gay crack head, an alcoholic bipolar crazy person and Mark Madsen. Think about that #LeBron stans...#NBA', "
9,"u'RT @SSG_Men: After some technical difficulties, the first episode of the Southside Gentlemen podcast is officially up! \n.\n.\n.\n.\n.\n#podcast\u2026', "
10,"u'After some technical difficulties, the first episode of the Southside Gentlemen podcast is officially up! \n.\n.\n.\n.\u2026 https://t.co/4nhEAyHYCW', "
11,"u""RT @KenKillings: I'm bored, so here's a thread of Lebron James flopping like only he can. \U0001f602\U0001f602\U0001f602 #thread #Lebron #KingJames #Leflop https://t.\u2026"", "
12,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
13,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
14,"u'@WhitlockJason you@and @ColinCowherd don\u2019t get it with #LeBron! Not all #Lakers fans are happy about him being on t\u2026 https://t.co/hVo418Gva5', "
15,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
16,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
17,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
18,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
19,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
20,"u'STAY THE FUCK AWAY RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred\u2026 https://t.co/P60scIRX35', "
21,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
22,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
23,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
24,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
25,"u'@KingJames Good thing the pizza is free... Everyone knows how #LeBron doesn\u2019t like to tip.', "
26,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
27,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
28,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
29,"u'@LSN_Frantz @TheSlanderGawd Only said he has more to prove to @BrooklynNets. Honestly believe @Dloading has chance\u2026 https://t.co/qMIP2yRyBS', "
30,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
31,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
32,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
33,"u'This nigga #leBron be picking teams like https://t.co/GuvAknedna', "
34,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
35,"u'Reposting @playtimecares: - via @Crowdfire \n#ihatetheinternet #LeBron #Lakers #currentevents #NBA\n\n#PTCares\u2026 https://t.co/mvJh6vwcvt', "
36,"u'RT @AndrewConnmedy: I had to do it @KingJames !!!!! I had too!!!!! @ZO2_ @bigballerbrand @espn @WORLDSTAR @Lavarbigballer @Lakers @turfcome\u2026', "
37,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
38,"u""RT @unqlechriz: WATCH: I'm learning isiXhosa, what y'all think? \U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\nPlease RT\nCc: @Kay_Q0 @Rhyme_Insane \n#DateMyFamily #OurPerfectWedding\u2026"", "
39,"u""RT @BigAZhandicapr: Message me for this week's MLB package advantage selections and I will throw in a second week free!!!!!  Just loving ML\u2026"", "
40,"u'RT @gettothecorner: WEL\xc7OME\xa9\ufe0f: ELBOW N THE RIM\n@mrvincecarter15 #vincecarter #raptors #slamdunkcontest #quai54 #jumpman #jordanclassic #pro\u2026', "
41,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
42,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
43,"u'According to @LinkedIn, the number of people who #quit their #jobs recently hit a record high. As talented employee\u2026 https://t.co/l2LioCgxNy', "
